"last_name, first_name","player_id","year","ab","pa","home_run","strikeout","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","xba","xslg","woba","xwoba","avg_swing_speed","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent","batted_ball","f_strike_percent","groundballs_percent","linedrives_percent"
"Varsho, Daulton","662139","2024","459","513","18","137",26.7,9.4,".214",".407",".293","0.700",".189",".325",".304",".265",73.7,"86.1","24.4",30.2,6.2,34,"98.537583503","93.276618121",27,47.6,"324",62.3,33,18.2
"Arraez, Luis","650333","2024","606","641","4","28",4.4,3.7,".320",".393",".354","0.747",".317",".412",".327",".332",63.1,"86.5","13.4",41.1,1.7,24.1,"94.920287163","91.493379464",7,49.7,"581",61.1,42.5,28.2
"Kim, Ha-Seong","673490","2024","403","470","11","77",16.4,12.3,".233",".370",".330","0.700",".249",".360",".308",".316",69.1,"87.9","15.1",36.6,4.8,35.4,"98.621780994","93.412597329",15.9,38,"333",61.3,41.1,24
"Cruz, Oneil","665833","2024","509","559","19","173",30.9,7.7,".267",".458",".326","0.784",".268",".472",".334",".340",78.5,"95.5","9.8",32.9,15.9,55.3,"107.281744793","98.610743047",34.4,46.6,"340",64,47.6,26.2
"France, Ty","664034","2024","446","499","12","105",21,7.2,".244",".379",".317","0.696",".234",".399",".307",".310",70.9,"88.5","12.6",31.3,7.5,39.7,"99.653845434","93.998635855",23.5,50.6,"345",62.5,45.2,22
"Turner, Justin","457759","2024","428","499","10","87",17.4,10.8,".255",".376",".351","0.727",".253",".381",".323",".327",65.1,"86.9","18.1",38.7,4,32.1,"96.570469364","92.35546578",16.9,45.3,"346",57.6,32.7,29.2
"Rooker Jr., Brent","667670","2024","507","570","38","162",28.4,9.5,".302",".584",".372","0.956",".279",".598",".403",".396",73.9,"92.3","18.6",39,17.5,51,"103.626663966","96.480201925",34,50,"349",62.6,33,23.8
"Taveras, Leody","665750","2024","446","491","11","102",20.8,7.7,".229",".354",".287","0.641",".247",".384",".281",".302",71.2,"89.2","13.9",31.6,5.7,36.5,"99.43105848","93.801563636",25.7,48.7,"351",63.1,41.9,23.4
"Mountcastle, Ryan","663624","2024","452","485","13","106",21.9,5.6,".265",".425",".305","0.730",".276",".460",".314",".337",75.2,"90.7","11",36.2,8.8,44.7,"102.01136","95.309849286",24.3,56.1,"351",63.3,43.6,27.4
"Smith, Will","669257","2024","448","510","18","102",20,9.2,".246",".429",".324","0.753",".239",".442",".322",".328",67.9,"89.5","19.2",38,11,42.2,"99.373494318","93.998214801",20.9,46.4,"353",60.7,32.3,21.8
