"last_name, first_name",Handedness (batting),player_id,Year,Ab,Pa,home_run,strikeout,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,xba,Xslg,woba,Xwoba,avg_swing_speed,exit_velocity_avg,laungh_angle_avg,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,whiff_percent,swing_percent,batted_ball,f_strike_percent,groundballs_percent,linedrives_percent
"Diaz, Yainer",Right,673237,2024,548,581,16,99,17,4,0.297,0.443,0.324,0.767,0.299,0.462,0.329,0.339,72.6,90.1,8.7,34.1,7.4,46.8,101.262066754,94.970291667,22.9,58.3,457,66.8,51.6,24.9
"Arenado, Nolan",Right,571448,2024,547,600,16,87,14.5,6.8,0.265,0.391,0.317,0.708,0.256,0.360,0.308,0.296,70.8,86.1,16.9,35.5,3.4,30.6,96.785712446,92.409345858,17.2,46.8,467,61,39.4,28.1
"Bregman, Alex",Right,608324,2024,547,596,23,82,13.8,7,0.256,0.441,0.314,0.755,0.254,0.408,0.326,0.314,71.3,89,18.4,33.8,6,40.6,98.887668026,93.605683476,12.9,45,467,63.4,36.8,23.6
"Giménez, Andrés",Left,665926,2024,553,602,8,93,15.4,4.2,0.250,0.333,0.297,0.630,0.262,0.358,0.278,0.297,68.2,86.2,9.2,33,2.8,28.6,96.468009654,92.24840423,22.8,56.6,469,63.6,49.9,24.7
"Peña, Jeremy",Right,665161,2024,571,614,15,103,16.8,3.7,0.270,0.401,0.309,0.710,0.272,0.412,0.308,0.317,72.6,88.3,7.7,30.3,5.7,38.7,99.209960213,93.675796298,24.9,53.9,476,67.1,49.2,22.5
"Lindor, Francisco",Switch,596019,2024,601,670,31,124,18.5,8.1,0.271,0.494,0.342,0.836,0.286,0.539,0.359,0.382,72.5,90.9,17.3,36.3,13.8,47.3,101.122397908,95.082754623,23.6,48.8,480,60,34,26.7
"Duran, Jarren",Left,680776,2024,627,686,21,149,21.7,7.3,0.285,0.499,0.342,0.841,0.281,0.470,0.359,0.348,73.6,90.8,9.2,33.4,9.8,45,102.162000168,95.493682295,24.6,48.2,482,58,47.3,24.9
"Hoerner, Nico",Right,663538,2024,545,602,5,65,10.8,7,0.268,0.358,0.332,0.690,0.281,0.355,0.306,0.313,68.2,85.6,10.3,36.4,1.2,28,96.040317967,92.02204334,12,47.9,483,65.1,43.9,30
"Witt Jr., Bobby",Right,677951,2024,604,671,32,101,15.1,7.7,0.331,0.598,0.386,0.984,0.324,0.603,0.411,0.416,74.7,92.9,15.5,36,14.7,48.5,104.024995664,96.567565479,22.1,51.3,511,61.8,37.4,25.2
"Ramírez, José",Switch,608070,2024,586,645,35,78,12.1,8.1,0.273,0.515,0.331,0.846,0.260,0.448,0.354,0.327,71.4,89.1,19.6,33.5,8,39.4,99.658369027,94.001391832,15.3,49.2,513,55.5,34.7,22.4
"DeJong, Paul",Right,657557,2024,436,472,24,151,32,4.7,0.232,0.436,0.280,0.716,0.223,0.409,0.307,0.296,72.1,87.9,19.8,36.9,10.3,41.4,99.988770345,94.171301793,34.9,58.1,290,62.7,32.1,24.8
"McCutchen, Andrew",Right,457705,2024,422,488,20,126,25.8,11.7,0.235,0.422,0.334,0.756,0.234,0.443,0.331,0.338,72.8,88.6,14.2,32.6,12.4,37.7,99.629514631,93.942267643,29.2,42.2,298,62.5,40.9,21.5
"Thomas, Lane",Right,657041,2024,441,495,13,130,26.3,8.5,0.243,0.404,0.315,0.719,0.249,0.380,0.314,0.312,71.7,89.1,16.9,32.6,7.3,42.1,100.605145886,94.51823481,23.6,43.2,316,62.4,38.9,24.4
"Busch, Michael",Left,683737,2024,469,533,20,154,28.9,10.9,0.256,0.450,0.338,0.788,0.225,0.439,0.341,0.325,70.2,89.9,16.4,36.7,11.6,39.8,100.123206772,94.413671456,29.1,45.3,319,60.9,39.5,23.2
